2PE 1:4.12 . τούτων τούτων D-GPN 3778 οὗτος ! οὗτος
2PE 1:4.13 . γένησθε γένησθε V-2ADS-2P 1096 γίνομαι ! γίνομαι
2PE 1:4.14 . θείας θείας A-GSF 2304 θεῖος ! θεῖος
2PE 1:4.15 . κοινωνοὶ κοινωνοὶ N-NPM 2844 κοινωνός ! κοινωνός
2PE 1:4.16 . φύσεως, φύσεως, N-GSF 5449 φύσις ! φύσις
2PE 1:4.17 . ἀποφυγόντες ἀποφυγόντες V-2AAP-NPM 668 ἀποφεύγω ! ἀποφεύγω
2PE 1:4.18 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2PE 1:4.19 . ἐν ἐν PREP 1722 ἐν ! ἐν
2PE 1:4.20 . τῷ τῷ T-DSM 3588 ὁ ! ὁ
2PE 1:4.21 . κόσμῳ κόσμῳ N-DSM 2889 κόσμος ! κόσμος
2PE 1:4.22 . ἐν ἐν PREP 1722 ἐν ! ἐν
2PE 1:4.23 . ἐπιθυμίᾳ ἐπιθυμίᾳ N-DSF 1939 ἐπιθυμία ! ἐπιθυμία
2PE 1:4.24 . φθορᾶς. φθορᾶς. N-GSF 5356 φθορά ! φθορά
2PE 1:5.1 . καὶ καὶ CONJ 2532 καί ! καί
2PE 1:5.2 . αὐτὸ αὐτὸ P-ASN 846 αὐτός ! αὐτός
2PE 1:5.3 . τοῦτο τοῦτο D-ASN 3778 οὗτος ! οὗτος
2PE 1:5.4 . δὲ δὲ CONJ 1161 δέ ! δέ
2PE 1:5.5 . σπουδὴν σπουδὴν N-ASF 4710 σπουδή ! σπουδή
2PE 1:5.6 . πᾶσαν πᾶσαν A-ASF 3956 πᾶς ! πᾶς
2PE 1:5.7 . παρεισενέγκαντες παρεισενέγκαντες V-AAP-NPM 3923 παρεισφέρω ! παρεισφέρω
2PE 1:5.8 . ἐπιχορηγήσατε ἐπιχορηγήσατε V-AAM-2P 2023 ἐπιχορηγέω ! ἐπιχορηγέω
2PE 1:5.9 . ἐν ἐν PREP 1722 ἐν ! ἐν
2PE 1:5.10 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
2PE 1:5.11 . πίστει πίστει N-DSF 4102 πίστις ! πίστις
2PE 1:5.12 . ὑμῶν ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
2PE 1:5.13 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
2PE 1:5.14 . ἀρετήν, ἀρετήν, N-ASF 703 ἀρέτη ! ἀρετή
2PE 1:5.15 . ἐν ἐν PREP 1722 ἐν ! ἐν
2PE 1:5.16 . δὲ δὲ CONJ 1161 δέ ! δέ
2PE 1:5.17 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
2PE 1:5.18 . ἀρετῇ ἀρετῇ N-DSF 703 ἀρέτη ! ἀρετή
2PE 1:5.19 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
2PE 1:5.20 . γνῶσιν, γνῶσιν, N-ASF 1108 γνῶσις ! γνῶσις
2PE 1:6.1 . ἐν ἐν PREP 1722 ἐν ! ἐν
2PE 1:6.2 . δὲ δὲ CONJ 1161 δέ ! δέ
2PE 1:6.3 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
2PE 1:6.4 . γνώσει γνώσει N-DSF 1108 γνῶσις ! γνῶσις
2PE 1:6.5 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
2PE 1:6.6 . ἐγκράτειαν, ἐγκράτειαν, N-ASF 1466 ἐγκράτεια ! ἐγκράτεια
2PE 1:6.7 . ἐν ἐν PREP 1722 ἐν ! ἐν
2PE 1:6.8 . δὲ δὲ CONJ 1161 δέ ! δέ
2PE 1:6.9 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
2PE 1:6.10 . ἐγκρατείᾳ ἐγκρατείᾳ N-DSF 1466 ἐγκράτεια ! ἐγκράτεια
2PE 1:6.11 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
2PE 1:6.12 . ὑπομονήν, ὑπομονήν, N-ASF 5281 ὑπομονή ! ὑπομονή
2PE 1:6.13 . ἐν ἐν PREP 1722 ἐν ! ἐν
2PE 1:6.14 . δὲ δὲ CONJ 1161 δέ ! δέ
2PE 1:6.15 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
2PE 1:6.16 . ὑπομονῇ ὑπομονῇ N-DSF 5281 ὑπομονή ! ὑπομονή
2PE 1:6.17 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
2PE 1:6.18 . εὐσέβειαν, εὐσέβειαν, N-ASF 2150 εὐσέβεια ! εὐσέβεια
2PE 1:7.1 . ἐν ἐν PREP 1722 ἐν ! ἐν
2PE 1:7.2 . δὲ δὲ CONJ 1161 δέ ! δέ
2PE 1:7.3 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
2PE 1:7.4 . εὐσεβείᾳ εὐσεβείᾳ N-DSF 2150 εὐσέβεια ! εὐσέβεια
2PE 1:7.5 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
2PE 1:7.6 . φιλαδελφίαν, φιλαδελφίαν, N-ASF 5360 φιλαδελφία ! φιλαδελφία
2PE 1:7.7 . ἐν ἐν PREP 1722 ἐν ! ἐν
2PE 1:7.8 . δὲ δὲ CONJ 1161 δέ ! δέ
2PE 1:7.9 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
2PE 1:7.10 . φιλαδελφίᾳ φιλαδελφίᾳ N-DSF 5360 φιλαδελφία ! φιλαδελφία
2PE 1:7.11 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
2PE 1:7.12 . ἀγάπην. ἀγάπην. N-ASF 26 ἀγάπη ! ἀγάπη
2PE 1:8.1 . ταῦτα ταῦτα D-NPN 3778 οὗτος ! οὗτος
2PE 1:8.2 . γὰρ γὰρ CONJ 1063 γάρ ! γάρ
2PE 1:8.3 . ὑμῖν ὑμῖν P-2DP 5210 ὑμεῖς ! σύ
2PE 1:8.4 . ὑπάρχοντα ὑπάρχοντα V-PAP-NPN 5225 ὑπάρχω ! ὑπάρχω
2PE 1:8.5 . καὶ καὶ CONJ 2532 καί ! καί
2PE 1:8.6 . πλεονάζοντα πλεονάζοντα V-PAP-NPN 4121 πλεονάζω ! πλεονάζω
2PE 1:8.7 . οὐκ οὐκ PRT-N 3756 οὐ ! οὐ
2PE 1:8.8 . ἀργοὺς ἀργοὺς A-APM 692 ἀργός ! ἀργός
2PE 1:8.9 . οὐδὲ οὐδὲ CONJ-N 3761 οὐδέ ! οὐδέ
2PE 1:8.10 . ἀκάρπους ἀκάρπους A-APM 175 ἄκαρπος ! ἄκαρπος
2PE 1:8.11 . καθίστησιν καθίστησιν V-PAI-3S 2525 καθίστημι ! καθίστημι
2PE 1:8.12 . εἰς εἰς PREP 1519 εἰς ! εἰς
2PE 1:8.13 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
2PE 1:8.14 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2PE 1:8.15 . κυρίου κυρίου N-GSM 2962 κύριος ! κύριος
2PE 1:8.16 . ἡμῶν ἡμῶν P-1GP 2249 ἡμεῖς ! ἐγώ
2PE 1:8.17 . Ἰησοῦ Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
2PE 1:8.18 . Χριστοῦ Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
