EPH 1:5.1 . προορίσας προορίσας V-AAP-NSM 4309 προορίζω ! προορίζω
EPH 1:5.2 . ἡμᾶς ἡμᾶς P-1AP 2249 ἡμεῖς ! ἐγώ
EPH 1:5.3 . εἰς εἰς PREP 1519 εἰς ! εἰς
EPH 1:5.4 . υἱοθεσίαν υἱοθεσίαν N-ASF 5206 υἱοθεσία ! υἱοθεσία
EPH 1:5.5 . διὰ διὰ PREP 1223 διά ! διά
EPH 1:5.6 . Ἰησοῦ Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
EPH 1:5.7 . Χριστοῦ Χριστοῦ N-GSM 5547 Χριστός ! Χριστός
EPH 1:5.8 . εἰς εἰς PREP 1519 εἰς ! εἰς
EPH 1:5.9 . αὐτόν, αὐτόν, P-ASM 846 αὐτός ! αὐτός
EPH 1:5.10 . κατὰ κατὰ PREP 2596 κατά ! κατά
EPH 1:5.11 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
EPH 1:5.12 . εὐδοκίαν εὐδοκίαν N-ASF 2107 εὐδοκία ! εὐδοκία
EPH 1:5.13 . τοῦ τοῦ T-GSN 3588 ὁ ! ὁ
EPH 1:5.14 . θελήματος θελήματος N-GSN 2307 θέλημα ! θέλημα
EPH 1:5.15 . αὐτοῦ, αὐτοῦ, P-GSM 846 αὐτός ! αὐτός
EPH 1:6.1 . εἰς εἰς PREP 1519 εἰς ! εἰς
EPH 1:6.2 . ἔπαινον ἔπαινον N-ASM 1868 ἔπαινος ! ἔπαινος
EPH 1:6.3 . δόξης δόξης N-GSF 1391 δόξα ! δόξα
EPH 1:6.4 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
EPH 1:6.5 . χάριτος χάριτος N-GSF 5485 χάρις ! χάρις
EPH 1:6.6 . αὐτοῦ αὐτοῦ P-GSM 846 αὐτός ! αὐτός
EPH 1:6.7 . ἧς ἧς R-GSF 3739 ὅς ! ὅς
EPH 1:6.8 . ἐχαρίτωσεν ἐχαρίτωσεν V-AAI-3S 5487 χαριτόω ! χαριτόω
EPH 1:6.9 . ἡμᾶς ἡμᾶς P-1AP 2249 ἡμεῖς ! ἐγώ
EPH 1:6.10 . ἐν ἐν PREP 1722 ἐν ! ἐν
EPH 1:6.11 . τῷ τῷ T-DSM 3588 ὁ ! ὁ
EPH 1:6.12 . ἠγαπημένῳ, ἠγαπημένῳ, V-RPP-DSM 25 ἀγαπάω ! ἀγαπάω
EPH 1:7.1 . ἐν ἐν PREP 1722 ἐν ! ἐν
EPH 1:7.2 . ᾧ ᾧ R-DSM 3739 ὅς ! ὅς
EPH 1:7.3 . ἔχομεν ἔχομεν V-PAI-1P 2192 ἔχω ! ἔχω
EPH 1:7.4 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
EPH 1:7.5 . ἀπολύτρωσιν ἀπολύτρωσιν N-ASF 629 ἀπολύτρωσις ! ἀπολύτρωσις
EPH 1:7.6 . διὰ διὰ PREP 1223 διά ! διά
EPH 1:7.7 . τοῦ τοῦ T-GSN 3588 ὁ ! ὁ
EPH 1:7.8 . αἵματος αἵματος N-GSN 129 αἷμα ! αἷμα
EPH 1:7.9 . αὐτοῦ, αὐτοῦ, P-GSM 846 αὐτός ! αὐτός
EPH 1:7.10 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
EPH 1:7.11 . ἄφεσιν ἄφεσιν N-ASF 859 ἄφεσις ! ἄφεσις
EPH 1:7.12 . τῶν τῶν T-GPN 3588 ὁ ! ὁ
EPH 1:7.13 . παραπτωμάτων, παραπτωμάτων, N-GPN 3900 παράπτωμα ! παράπτωμα
EPH 1:7.14 . κατὰ κατὰ PREP 2596 κατά ! κατά
EPH 1:7.15 . τὸ τὸ T-ASN 3588 ὁ ! ὁ
EPH 1:7.16 . πλοῦτος πλοῦτος N-ASN 4149 πλοῦτος ! πλοῦτος
EPH 1:7.17 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
EPH 1:7.18 . χάριτος χάριτος N-GSF 5485 χάρις ! χάρις
EPH 1:7.19 . αὐτοῦ, αὐτοῦ, P-GSM 846 αὐτός ! αὐτός
EPH 1:8.1 . ἧς ἧς R-GSF 3739 ὅς ! ὅς
EPH 1:8.2 . ἐπερίσσευσεν ἐπερίσσευσεν V-AAI-3S 4052 περισσεύω ! περισσεύω
EPH 1:8.3 . εἰς εἰς PREP 1519 εἰς ! εἰς
EPH 1:8.4 . ἡμᾶς ἡμᾶς P-1AP 2249 ἡμεῖς ! ἐγώ
EPH 1:8.5 . ἐν ἐν PREP 1722 ἐν ! ἐν
EPH 1:8.6 . πάσῃ πάσῃ A-DSF 3956 πᾶς ! πᾶς
EPH 1:8.7 . σοφίᾳ σοφίᾳ N-DSF 4678 σοφία ! σοφία
EPH 1:8.8 . καὶ καὶ CONJ 2532 καί ! καί
EPH 1:8.9 . φρονήσει φρονήσει N-DSF 5428 φρόνησις ! φρόνησις
EPH 1:9.1 . γνωρίσας γνωρίσας V-AAP-NSM 1107 γνωρίζω ! γνωρίζω
EPH 1:9.2 . ἡμῖν ἡμῖν P-1DP 2249 ἡμεῖς ! ἐγώ
EPH 1:9.3 . τὸ τὸ T-ASN 3588 ὁ ! ὁ
EPH 1:9.4 . μυστήριον μυστήριον N-ASN 3466 μυστήριον ! μυστήριον
