RE 1:4.12 . εἰρήνη εἰρήνη N-NSF 1515 εἰρήνη ! εἰρήνη
RE 1:4.13 . ἀπὸ ἀπὸ PREP 575 ἀπό ! ἀπό
RE 1:4.14 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
RE 1:4.15 . ὢν ὢν V-PAP-NSM 1510 εἰμί ! εἰμί
RE 1:4.16 . καὶ καὶ CONJ 2532 καί ! καί
RE 1:4.17 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
RE 1:4.18 . ἦν ἦν V-IAI-3S 1510 εἰμί ! εἰμί
RE 1:4.19 . καὶ καὶ CONJ 2532 καί ! καί
RE 1:4.20 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
RE 1:4.21 . ἐρχόμενος, ἐρχόμενος, V-PNP-NSM 2064 ἔρχομαι ! ἔρχομαι
RE 1:4.22 . καὶ καὶ CONJ 2532 καί ! καί
RE 1:4.23 . ἀπὸ ἀπὸ PREP 575 ἀπό ! ἀπό
RE 1:4.24 . τῶν τῶν T-GPN 3588 ὁ ! ὁ
RE 1:4.25 . ἑπτὰ ἑπτὰ A-NUI 2033 ἑπτά ! ἑπτά
RE 1:4.26 . πνευμάτων πνευμάτων N-GPN 4151 πνεῦμα ! πνεῦμα
RE 1:4.27 . ἃ ἃ R-NPN 3739 ὅς ! ὅς
RE 1:4.28 . ἐνώπιον ἐνώπιον ADV 1799 ἐνώπιον ! ἐνώπιον
RE 1:4.29 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
RE 1:4.30 . θρόνου θρόνου N-GSM 2362 θρόνος ! θρόνος
RE 1:4.31 . αὐτοῦ, αὐτοῦ, P-GSM 846 αὐτός ! αὐτός
RE 1:5.1 . καὶ καὶ CONJ 2532 καί ! καί
RE 1:5.2 . ἀπὸ ἀπὸ PREP 575 ἀπό ! ἀπό
RE 1:5.3 . Ἰησοῦ Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
RE 1:5.4 . Χριστοῦ, Χριστοῦ, N-GSM 5547 Χριστός ! Χριστός
