2TH 1:3.26 . ἀλλήλους, ἀλλήλους, C-APM 240 ἀλλήλων ! ἀλλήλων
2TH 1:4.1 . ὥστε ὥστε CONJ 5620 ὥστε ! ὥστε
2TH 1:4.2 . αὐτοὺς αὐτοὺς P-APM 846 αὐτός ! αὐτός
2TH 1:4.3 . ἡμᾶς ἡμᾶς P-1AP 2249 ἡμεῖς ! ἐγώ
2TH 1:4.4 . ἐν ἐν PREP 1722 ἐν ! ἐν
2TH 1:4.5 . ὑμῖν ὑμῖν P-2DP 5210 ὑμεῖς ! σύ
2TH 1:4.6 . ἐνκαυχᾶσθαι ἐνκαυχᾶσθαι V-PNN 2744 καυχάομαι ! καυχάομαι
2TH 1:4.7 . ἐν ἐν PREP 1722 ἐν ! ἐν
2TH 1:4.8 . ταῖς ταῖς T-DPF 3588 ὁ ! ὁ
2TH 1:4.9 . ἐκκλησίαις ἐκκλησίαις N-DPF 1577 ἐκκλησία ! ἐκκλησία
2TH 1:4.10 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2TH 1:4.11 . θεοῦ θεοῦ N-GSM 2316 θεός ! θεός
2TH 1:4.12 . ὑπὲρ ὑπὲρ PREP 5228 ὑπέρ ! ὑπέρ
2TH 1:4.13 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2TH 1:4.14 . ὑπομονῆς ὑπομονῆς N-GSF 5281 ὑπομονή ! ὑπομονή
2TH 1:4.15 . ὑμῶν ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
2TH 1:4.16 . καὶ καὶ CONJ 2532 καί ! καί
2TH 1:4.17 . πίστεως πίστεως N-GSF 4102 πίστις ! πίστις
2TH 1:4.18 . ἐν ἐν PREP 1722 ἐν ! ἐν
2TH 1:4.19 . πᾶσιν πᾶσιν A-DPM 3956 πᾶς ! πᾶς
2TH 1:4.20 . τοῖς τοῖς T-DPM 3588 ὁ ! ὁ
2TH 1:4.21 . διωγμοῖς διωγμοῖς N-DPM 1375 διωγμός ! διωγμός
2TH 1:4.22 . ὑμῶν ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
2TH 1:4.23 . καὶ καὶ CONJ 2532 καί ! καί
2TH 1:4.24 . ταῖς ταῖς T-DPF 3588 ὁ ! ὁ
2TH 1:4.25 . θλίψεσιν θλίψεσιν N-DPF 2347 θλῖψις ! θλῖψις
2TH 1:4.26 . αἷς αἷς R-DPF 3739 ὅς ! ὅς
2TH 1:4.27 . ἀνέχεσθε, ἀνέχεσθε, V-PNI-2P 430 ἀνέχομαι ! ἀνέχω
2TH 1:5.1 . ἔνδειγμα ἔνδειγμα N-NSN 1730 ἔνδειγμα ! ἔνδειγμα
2TH 1:5.2 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2TH 1:5.3 . δικαίας δικαίας A-GSF 1342 δίκαιος ! δίκαιος
2TH 1:5.4 . κρίσεως κρίσεως N-GSF 2920 κρίσις ! κρίσις
2TH 1:5.5 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2TH 1:5.6 . θεοῦ, θεοῦ, N-GSM 2316 θεός ! θεός
2TH 1:5.7 . εἰς εἰς PREP 1519 εἰς ! εἰς
2TH 1:5.8 . τὸ τὸ T-ASN 3588 ὁ ! ὁ
2TH 1:5.9 . καταξιωθῆναι καταξιωθῆναι V-APN 2661 καταξιόω ! καταξιόω
2TH 1:5.10 . ὑμᾶς ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
2TH 1:5.11 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
2TH 1:5.12 . βασιλείας βασιλείας N-GSF 932 βασιλεία ! βασιλεία
2TH 1:5.13 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
2TH 1:5.14 . θεοῦ, θεοῦ, N-GSM 2316 θεός ! θεός
2TH 1:5.15 . ὑπὲρ ὑπὲρ PREP 5228 ὑπέρ ! ὑπέρ
2TH 1:5.16 . ἧς ἧς R-GSF 3739 ὅς ! ὅς
2TH 1:5.17 . καὶ καὶ CONJ 2532 καί ! καί
2TH 1:5.18 . πάσχετε, πάσχετε, V-PAI-2P 3958 πάσχω ! πάσχω
2TH 1:6.1 . εἴπερ εἴπερ COND 1512 εἴ περ ! εἴπερ
2TH 1:6.2 . δίκαιον δίκαιον A-NSN 1342 δίκαιος ! δίκαιος
2TH 1:6.3 . παρὰ παρὰ PREP 3844 παρά ! παρά
2TH 1:6.4 . θεῷ θεῷ N-DSM 2316 θεός ! θεός
2TH 1:6.5 . ἀνταποδοῦναι ἀνταποδοῦναι V-2AAN 467 ἀνταποδίδωμι ! ἀνταποδίδωμι
2TH 1:6.6 . τοῖς τοῖς T-DPM 3588 ὁ ! ὁ
2TH 1:6.7 . θλίβουσιν θλίβουσιν V-PAP-DPM 2346 θλίβω ! θλίβω
