1TH 1:1.1 C Παῦλος Παῦλος N-NSM 3972 Παῦλος ! Παῦλος
1TH 1:1.2 . καὶ καὶ CONJ 2532 καί ! καί
1TH 1:1.3 . Σιλουανὸς Σιλουανὸς N-NSM 4610 Σιλουανός ! Σιλουανός
1TH 1:1.4 . καὶ καὶ CONJ 2532 καί ! καί
1TH 1:1.5 . Τιμόθεος Τιμόθεος N-NSM 5095 Τιμόθεος ! Τιμόθεος
1TH 1:1.6 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
1TH 1:1.7 . ἐκκλησίᾳ ἐκκλησίᾳ N-DSF 1577 ἐκκλησία ! ἐκκλησία
1TH 1:1.8 . Θεσσαλονικέων Θεσσαλονικέων N-GPM 2331 Θεσσαλονικεύς ! Θεσσαλονικεύς
1TH 1:1.9 . ἐν ἐν PREP 1722 ἐν ! ἐν
1TH 1:1.10 . θεῷ θεῷ N-DSM 2316 θεός ! θεός
1TH 1:1.11 . πατρὶ πατρὶ N-DSM 3962 πατήρ ! πατήρ
1TH 1:1.12 . καὶ καὶ CONJ 2532 καί ! καί
1TH 1:1.13 . κυρίῳ κυρίῳ N-DSM 2962 κύριος ! κύριος
1TH 1:1.14 . Ἰησοῦ Ἰησοῦ N-DSM 2424 Ἰησοῦς ! Ἰησοῦς
1TH 1:1.15 . Χριστῷ. Χριστῷ. N-DSM 5547 Χριστός ! Χριστός
1TH 1:1.16 . χάρις χάρις N-NSF 5485 χάρις ! χάρις
1TH 1:1.17 . ὑμῖν ὑμῖν P-2DP 5210 ὑμεῖς ! σύ
1TH 1:1.18 . καὶ καὶ CONJ 2532 καί ! καί
1TH 1:1.19 . εἰρήνη. εἰρήνη. N-NSF 1515 εἰρήνη ! εἰρήνη
1TH 1:2.1 P Εὐχαριστοῦμεν Εὐχαριστοῦμεν V-PAI-1P 2168 εὐχαριστέω ! εὐχαριστέω
1TH 1:2.2 . τῷ τῷ T-DSM 3588 ὁ ! ὁ
1TH 1:2.3 . θεῷ θεῷ N-DSM 2316 θεός ! θεός
1TH 1:2.4 . πάντοτε πάντοτε ADV 3842 πάντοτε ! πάντοτε
1TH 1:2.5 . περὶ περὶ PREP 4012 περί ! περί
1TH 1:2.6 . πάντων πάντων A-GPM 3956 πᾶς ! πᾶς
1TH 1:2.7 . ὑμῶν, ὑμῶν, P-2GP 5210 ὑμεῖς ! σύ
1TH 1:2.8 . μνείαν μνείαν N-ASF 3417 μνεία ! μνεία
1TH 1:2.9 . ποιούμενοι ποιούμενοι V-PMP-NPM 4160 ποιέω ! ποιέω
1TH 1:2.10 . ἐπὶ ἐπὶ PREP 1909 ἐπί ! ἐπί
1TH 1:2.11 . τῶν τῶν T-GPF 3588 ὁ ! ὁ
1TH 1:2.12 . προσευχῶν προσευχῶν N-GPF 4335 προσευχή ! προσευχή
