HEB 1:4.10 . κεκληρονόμηκεν κεκληρονόμηκεν V-RAI-3S 2816 κληρονομέω ! κληρονομέω
HEB 1:4.11 . ὄνομα. ὄνομα. N-ASN 3686 ὄνομα ! ὄνομα
HEB 1:5.1 . τίνι τίνι I-DSM 5101 τίς ! τίς
HEB 1:5.2 . γὰρ γὰρ CONJ 1063 γάρ ! γάρ
HEB 1:5.3 . εἶπέν εἶπέν V-2AAI-3S 3004 λέγω ! λέγω
HEB 1:5.4 . ποτε ποτε PRT 4218 ποτέ ! ποτέ
HEB 1:5.5 . τῶν τῶν T-GPM 3588 ὁ ! ὁ
HEB 1:5.6 . ἀγγέλων, ἀγγέλων, N-GPM 32 ἄγγελος ! ἄγγελος
HEB 1:5.7 . υἱός υἱός N-NSM 5207 υἱός ! υἱός
HEB 1:5.8 . μου μου P-1GS 1473 ἐγώ ! ἐγώ
HEB 1:5.9 . εἶ εἶ V-PAI-2S 1510 εἰμί ! εἰμί
HEB 1:5.10 . σύ, σύ, P-2NS 4771 σύ ! σύ
HEB 1:5.11 . ἐγὼ ἐγὼ P-1NS 1473 ἐγώ ! ἐγώ
HEB 1:5.12 . σήμερον σήμερον ADV 4594 σήμερον ! σήμερον
HEB 1:5.13 . γεγέννηκά γεγέννηκά V-RAI-1S 1080 γεννάω ! γεννάω
HEB 1:5.14 . σε; σε; P-2AS 4771 σύ ! σύ
HEB 1:5.15 . καὶ καὶ CONJ 2532 καί ! καί
HEB 1:5.16 . πάλιν, πάλιν, ADV 3825 πάλιν ! πάλιν
HEB 1:5.17 . ἐγὼ ἐγὼ P-1NS 1473 ἐγώ ! ἐγώ
HEB 1:5.18 . ἔσομαι ἔσομαι V-FDI-1S 1510 εἰμί ! εἰμί
HEB 1:5.19 . αὐτῷ αὐτῷ P-DSM 846 αὐτός ! αὐτός
HEB 1:5.20 . εἰς εἰς PREP 1519 εἰς ! εἰς
HEB 1:5.21 . πατέρα, πατέρα, N-ASM 3962 πατήρ ! πατήρ
HEB 1:5.22 . καὶ καὶ CONJ 2532 καί ! καί
HEB 1:5.23 . αὐτὸς αὐτὸς P-NSM 846 αὐτός ! αὐτός
HEB 1:5.24 . ἔσται ἔσται V-FDI-3S 1510 εἰμί ! εἰμί
HEB 1:5.25 . μοι μοι P-1DS 1473 ἐγώ ! ἐγώ
HEB 1:5.26 . εἰς εἰς PREP 1519 εἰς ! εἰς
HEB 1:5.27 . υἱόν; υἱόν; N-ASM 5207 υἱός ! υἱός
HEB 1:6.1 . ὅταν ὅταν CONJ 3752 ὅταν ! ὅταν
HEB 1:6.2 . δὲ δὲ CONJ 1161 δέ ! δέ
HEB 1:6.3 . πάλιν πάλιν ADV 3825 πάλιν ! πάλιν
HEB 1:6.4 . εἰσαγάγῃ εἰσαγάγῃ V-2AAS-3S 1521 εἰσάγω ! εἰσάγω
HEB 1:6.5 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
HEB 1:6.6 . πρωτότοκον πρωτότοκον A-ASM-S 4416 πρωτότοκος ! πρωτότοκος
HEB 1:6.7 . εἰς εἰς PREP 1519 εἰς ! εἰς
HEB 1:6.8 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
HEB 1:6.9 . οἰκουμένην, οἰκουμένην, N-ASF 3625 οἰκουμένη ! οἰκουμένη
HEB 1:6.10 . λέγει, λέγει, V-PAI-3S 3004 λέγω ! λέγω
HEB 1:6.11 . καὶ καὶ CONJ 2532 καί ! καί
HEB 1:6.12 . προσκυνησάτωσαν προσκυνησάτωσαν V-AAM-3P 4352 προσκυνέω ! προσκυνέω
HEB 1:6.13 . αὐτῷ αὐτῷ P-DSM 846 αὐτός ! αὐτός
HEB 1:6.14 . πάντες πάντες A-NPM 3956 πᾶς ! πᾶς
HEB 1:6.15 . ἄγγελοι ἄγγελοι N-NPM 32 ἄγγελος ! ἄγγελος
HEB 1:6.16 . θεοῦ. θεοῦ. N-GSM 2316 θεός ! θεός
HEB 1:7.1 . καὶ καὶ CONJ 2532 καί ! καί
HEB 1:7.2 . πρὸς πρὸς PREP 4314 πρός ! πρός
HEB 1:7.3 . μὲν μὲν PRT 3303 μέν ! μέν
HEB 1:7.4 . τοὺς τοὺς T-APM 3588 ὁ ! ὁ
HEB 1:7.5 . ἀγγέλους ἀγγέλους N-APM 32 ἄγγελος ! ἄγγελος
HEB 1:7.6 . λέγει, λέγει, V-PAI-3S 3004 λέγω ! λέγω
HEB 1:7.7 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
HEB 1:7.8 . ποιῶν ποιῶν V-PAP-NSM 4160 ποιέω ! ποιέω
HEB 1:7.9 . τοὺς τοὺς T-APM 3588 ὁ ! ὁ
HEB 1:7.10 . ἀγγέλους ἀγγέλους N-APM 32 ἄγγελος ! ἄγγελος
HEB 1:7.11 . αὐτοῦ αὐτοῦ P-GSM 846 αὐτός ! αὐτός
HEB 1:7.12 . πνεύματα, πνεύματα, N-APN 4151 πνεῦμα ! πνεῦμα
HEB 1:7.13 . καὶ καὶ CONJ 2532 καί ! καί
HEB 1:7.14 . τοὺς τοὺς T-APM 3588 ὁ ! ὁ
HEB 1:7.15 . λειτουργοὺς λειτουργοὺς N-APM 3011 λειτουργός ! λειτουργός
HEB 1:7.16 . αὐτοῦ αὐτοῦ P-GSM 846 αὐτός ! αὐτός
HEB 1:7.17 . πυρὸς πυρὸς N-GSN 4442 πῦρ ! πῦρ
HEB 1:7.18 . φλόγα· φλόγα· N-ASF 5395 φλόξ ! φλόξ
HEB 1:8.1 . πρὸς πρὸς PREP 4314 πρός ! πρός
HEB 1:8.2 . δὲ δὲ CONJ 1161 δέ ! δέ
HEB 1:8.3 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
HEB 1:8.4 . υἱόν, υἱόν, N-ASM 5207 υἱός ! υἱός
HEB 1:8.5 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
HEB 1:8.6 . θρόνος θρόνος N-NSM 2362 θρόνος ! θρόνος
HEB 1:8.7 . σου, σου, P-2GS 4771 σύ ! σύ
HEB 1:8.8 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
HEB 1:8.9 . θεός, θεός, N-NSM 2316 θεός ! θεός
HEB 1:8.10 . εἰς εἰς PREP 1519 εἰς ! εἰς
HEB 1:8.11 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
HEB 1:8.12 . αἰῶνα αἰῶνα N-ASM 165 αἰών ! αἰών
HEB 1:8.13 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
HEB 1:8.14 . αἰῶνος, αἰῶνος, N-GSM 165 αἰών ! αἰών
HEB 1:8.15 . καὶ καὶ CONJ 2532 καί ! καί
HEB 1:8.16 . ἡ ἡ T-NSF 3588 ὁ ! ὁ
HEB 1:8.17 . ῥάβδος ῥάβδος N-NSF 4464 ῥάβδος ! ῥάβδος
HEB 1:8.18 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
HEB 1:8.19 . εὐθύτητος εὐθύτητος N-GSF 2118 εὐθύτης ! εὐθύτης
HEB 1:8.20 . ῥάβδος ῥάβδος N-NSF 4464 ῥάβδος ! ῥάβδος
HEB 1:8.21 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
HEB 1:8.22 . βασιλείας βασιλείας N-GSF 932 βασιλεία ! βασιλεία
HEB 1:8.23 . σου. σου. P-2GS 4771 σύ ! σύ
HEB 1:9.1 . ἠγάπησας ἠγάπησας V-AAI-2S 25 ἀγαπάω ! ἀγαπάω
HEB 1:9.2 . δικαιοσύνην δικαιοσύνην N-ASF 1343 δικαιοσύνη ! δικαιοσύνη
HEB 1:9.3 . καὶ καὶ CONJ 2532 καί ! καί
HEB 1:9.4 . ἐμίσησας ἐμίσησας V-AAI-2S 3404 μισέω ! μισέω
HEB 1:9.5 . ἀδικίαν· ἀδικίαν· N-ASF 93 ἀδικία ! ἀδικία
HEB 1:9.6 . διὰ διὰ PREP 1223 διά ! διά
HEB 1:9.7 . τοῦτο τοῦτο D-ASN 3778 οὗτος ! οὗτος
HEB 1:9.8 . ἔχρισέν ἔχρισέν V-AAI-3S 5548 χρίω ! χρίω
HEB 1:9.9 . σε σε P-2AS 4771 σύ ! σύ
HEB 1:9.10 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
HEB 1:9.11 . θεός, θεός, N-NSM 2316 θεός ! θεός
HEB 1:9.12 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
HEB 1:9.13 . θεός θεός N-NSM 2316 θεός ! θεός
HEB 1:9.14 . σου, σου, P-2GS 4771 σύ ! σύ
HEB 1:9.15 . ἔλαιον ἔλαιον N-ASN 1637 ἔλαιον ! ἔλαιον
HEB 1:9.16 . ἀγαλλιάσεως ἀγαλλιάσεως N-GSF 20 ἀγαλλίασις ! ἀγαλλίασις
HEB 1:9.17 . παρὰ παρὰ PREP 3844 παρά ! παρά
HEB 1:9.18 . τοὺς τοὺς T-APM 3588 ὁ ! ὁ
HEB 1:9.19 . μετόχους μετόχους A-APM 3353 μέτοχος ! μέτοχος
HEB 1:9.20 . σου· σου· P-2GS 4771 σύ ! σύ
HEB 1:10.1 . καί, καί, CONJ 2532 καί ! καί
HEB 1:10.2 . σὺ σὺ P-2NS 4771 σύ ! σύ
HEB 1:10.3 . κατ’ κατ’ PREP 2596 κατά ! κατά
HEB 1:10.4 . ἀρχάς, ἀρχάς, N-APF 746 ἀρχή ! ἀρχή
HEB 1:10.5 . κύριε, κύριε, N-VSM 2962 κύριος ! κύριος
HEB 1:10.6 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
HEB 1:10.7 . γῆν γῆν N-ASF 1093 γῆ ! γῆ
HEB 1:10.8 . ἐθεμελίωσας, ἐθεμελίωσας, V-AAI-2S 2311 θεμελιόω ! θεμελιόω
HEB 1:10.9 . καὶ καὶ CONJ 2532 καί ! καί
HEB 1:10.10 . ἔργα ἔργα N-NPN 2041 ἔργον ! ἔργον
HEB 1:10.11 . τῶν τῶν T-GPF 3588 ὁ ! ὁ
HEB 1:10.12 . χειρῶν χειρῶν N-GPF 5495 χείρ ! χείρ
HEB 1:10.13 . σού σού P-2GS 4771 σύ ! σύ
HEB 1:10.14 . εἰσιν εἰσιν V-PAI-3P 1510 εἰμί ! εἰμί
HEB 1:10.15 . οἱ οἱ T-NPM 3588 ὁ ! ὁ
HEB 1:10.16 . οὐρανοί· οὐρανοί· N-NPM 3772 οὐρανός ! οὐρανός
HEB 1:11.1 . αὐτοὶ αὐτοὶ P-NPM 846 αὐτός ! αὐτός
HEB 1:11.2 . ἀπολοῦνται, ἀπολοῦνται, V-FMI-3P 622 ἀπόλλυμι ! ἀπόλλυμι
HEB 1:11.3 . σὺ σὺ P-2NS 4771 σύ ! σύ
HEB 1:11.4 . δὲ δὲ CONJ 1161 δέ ! δέ
HEB 1:11.5 . διαμένεις· διαμένεις· V-PAI-2S 1265 διαμένω ! διαμένω
HEB 1:11.6 . καὶ καὶ CONJ 2532 καί ! καί
HEB 1:11.7 . πάντες πάντες A-NPM 3956 πᾶς ! πᾶς
HEB 1:11.8 . ὡς ὡς ADV 5613 ὡς ! ὡς
HEB 1:11.9 . ἱμάτιον ἱμάτιον N-NSN 2440 ἱμάτιον ! ἱμάτιον
HEB 1:11.10 . παλαιωθήσονται, παλαιωθήσονται, V-FPI-3P 3822 παλαιόω ! παλαιόω
HEB 1:12.1 . καὶ καὶ CONJ 2532 καί ! καί
HEB 1:12.2 . ὡσεὶ ὡσεὶ ADV 5616 ὡσεί ! ὡσεί
HEB 1:12.3 . περιβόλαιον περιβόλαιον N-ASN 4018 περιβόλαιον ! περιβόλαιον
HEB 1:12.4 . ἀλλάξεις ἀλλάξεις V-FAI-2S 236 ἀλλάσσω ! ἀλλάσσω
HEB 1:12.5 . αὐτούς, αὐτούς, P-APM 846 αὐτός ! αὐτός
HEB 1:12.6 . καὶ καὶ CONJ 2532 καί ! καί
HEB 1:12.7 . ἀλλαγήσονται, ἀλλαγήσονται, V-2FPI-3P 236 ἀλλάσσω ! ἀλλάσσω
HEB 1:12.8 . σὺ σὺ P-2NS 4771 σύ ! σύ
HEB 1:12.9 . δὲ δὲ CONJ 1161 δέ ! δέ
HEB 1:12.10 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
HEB 1:12.11 . αὐτὸς αὐτὸς P-NSM 846 αὐτός ! αὐτός
HEB 1:12.12 . εἶ εἶ V-PAI-2S 1510 εἰμί ! εἰμί
HEB 1:12.13 . καὶ καὶ CONJ 2532 καί ! καί
HEB 1:12.14 . τὰ τὰ T-NPN 3588 ὁ ! ὁ
HEB 1:12.15 . ἔτη ἔτη N-NPN 2094 ἔτος ! ἔτος
HEB 1:12.16 . σου σου P-2GS 4771 σύ ! σύ
HEB 1:12.17 . οὐκ οὐκ PRT-N 3756 οὐ ! οὐ
HEB 1:12.18 . ἐκλείψουσιν. ἐκλείψουσιν. V-FAI-3P 1587 ἐκλείπω ! ἐκλείπω
HEB 1:13.1 . πρὸς πρὸς PREP 4314 πρός ! πρός
HEB 1:13.2 . τίνα τίνα I-ASM 5101 τίς ! τίς
HEB 1:13.3 . δὲ δὲ CONJ 1161 δέ ! δέ
HEB 1:13.4 . τῶν τῶν T-GPM 3588 ὁ ! ὁ
HEB 1:13.5 . ἀγγέλων ἀγγέλων N-GPM 32 ἄγγελος ! ἄγγελος
HEB 1:13.6 . εἴρηκέν εἴρηκέν V-RAI-3S-ATT 2046 ἐρέω ! εἶπον
HEB 1:13.7 . ποτε, ποτε, PRT 4218 ποτέ ! ποτέ
HEB 1:13.8 . κάθου κάθου V-PNM-2S 2521 κάθημαι ! κάθημαι
HEB 1:13.9 . ἐκ ἐκ PREP 1537 ἐκ ! ἐκ
HEB 1:13.10 . δεξιῶν δεξιῶν A-GPM 1188 δεξιός ! δεξιός
HEB 1:13.11 . μου μου P-1GS 1473 ἐγώ ! ἐγώ
HEB 1:13.12 . ἕως ἕως ADV 2193 ἕως ! ἕως
HEB 1:13.13 . ἂν ἂν PRT 302 ἄν ! ἄν
HEB 1:13.14 . θῶ θῶ V-2AAS-1S 5087 τίθημι ! τίθημι
HEB 1:13.15 . τοὺς τοὺς T-APM 3588 ὁ ! ὁ
HEB 1:13.16 . ἐχθρούς ἐχθρούς A-APM 2190 ἐχθρός ! ἐχθρός
HEB 1:13.17 . σου σου P-2GS 4771 σύ ! σύ
HEB 1:13.18 . ὑποπόδιον ὑποπόδιον N-ASN 5286 ὑποπόδιον ! ὑποπόδιον
HEB 1:13.19 . τῶν τῶν T-GPM 3588 ὁ ! ὁ
HEB 1:13.20 . ποδῶν ποδῶν N-GPM 4228 πούς ! πούς
HEB 1:13.21 . σου; σου; P-2GS 4771 σύ ! σύ
HEB 1:14.1 . οὐχὶ οὐχὶ PRT-I 3780 οὐχί ! οὐχί
HEB 1:14.2 . πάντες πάντες A-NPM 3956 πᾶς ! πᾶς
HEB 1:14.3 . εἰσὶν εἰσὶν V-PAI-3P 1510 εἰμί ! εἰμί
HEB 1:14.4 . λειτουργικὰ λειτουργικὰ A-NPN 3010 λειτουργικός ! λειτουργικός
HEB 1:14.5 . πνεύματα πνεύματα N-NPN 4151 πνεῦμα ! πνεῦμα
HEB 1:14.6 . εἰς εἰς PREP 1519 εἰς ! εἰς
HEB 1:14.7 . διακονίαν διακονίαν N-ASF 1248 διακονία ! διακονία
HEB 1:14.8 . ἀποστελλόμενα ἀποστελλόμενα V-PPP-NPN 649 ἀποστέλλω ! ἀποστέλλω
HEB 1:14.9 . διὰ διὰ PREP 1223 διά ! διά
HEB 1:14.10 . τοὺς τοὺς T-APM 3588 ὁ ! ὁ
HEB 1:14.11 . μέλλοντας μέλλοντας V-PAP-APM 3195 μέλλω ! μέλλω
HEB 1:14.12 . κληρονομεῖν κληρονομεῖν V-PAN 2816 κληρονομέω ! κληρονομέω
HEB 1:14.13 . σωτηρίαν; σωτηρίαν; N-ASF 4991 σωτηρία ! σωτηρία
HEB 2:1.1 C Διὰ Διὰ PREP 1223 διά ! διά
HEB 2:1.2 . τοῦτο τοῦτο D-ASN 3778 οὗτος ! οὗτος
HEB 2:1.3 . δεῖ δεῖ V-PAI-3S 1163 δεῖ ! δεῖ
HEB 2:1.4 . περισσοτέρως περισσοτέρως ADV-C 4056 περισσοτέρως ! περισσοτέρως
