1TI 1:5.7 . ἀγάπη ἀγάπη N-NSF 26 ἀγάπη ! ἀγάπη
1TI 1:5.8 . ἐκ ἐκ PREP 1537 ἐκ ! ἐκ
1TI 1:5.9 . καθαρᾶς καθαρᾶς A-GSF 2513 καθαρός ! καθαρός
1TI 1:5.10 . καρδίας καρδίας N-GSF 2588 καρδία ! καρδία
1TI 1:5.11 . καὶ καὶ CONJ 2532 καί ! καί
1TI 1:5.12 . συνειδήσεως συνειδήσεως N-GSF 4893 συνείδησις ! συνείδησις
1TI 1:5.13 . ἀγαθῆς ἀγαθῆς A-GSF 18 ἀγαθός ! ἀγαθός
1TI 1:5.14 . καὶ καὶ CONJ 2532 καί ! καί
1TI 1:5.15 . πίστεως πίστεως N-GSF 4102 πίστις ! πίστις
1TI 1:5.16 . ἀνυποκρίτου, ἀνυποκρίτου, A-GSF 505 ἀνυπόκριτος ! ἀνυπόκριτος
1TI 1:6.1 . ὧν ὧν R-GPF 3739 ὅς ! ὅς
1TI 1:6.2 . τινες τινες X-NPM 5100 τὶς ! τὶς
1TI 1:6.3 . ἀστοχήσαντες ἀστοχήσαντες V-AAP-NPM 795 ἀστοχέω ! ἀστοχέω
1TI 1:6.4 . ἐξετράπησαν ἐξετράπησαν V-2API-3P 1624 ἐκτρέπω ! ἐκτρέπω
1TI 1:6.5 . εἰς εἰς PREP 1519 εἰς ! εἰς
1TI 1:6.6 . ματαιολογίαν, ματαιολογίαν, N-ASF 3150 ματαιολογία ! ματαιολογία
1TI 1:7.1 . θέλοντες θέλοντες V-PAP-NPM 2309 θέλω ! θέλω
1TI 1:7.2 . εἶναι εἶναι V-PAN 1510 εἰμί ! εἰμί
1TI 1:7.3 . νομοδιδάσκαλοι, νομοδιδάσκαλοι, N-NPM 3547 νομοδιδάσκαλος ! νομοδιδάσκαλος
1TI 1:7.4 . μὴ μὴ PRT-N 3361 μή ! μή
1TI 1:7.5 . νοοῦντες νοοῦντες V-PAP-NPM 3539 νοιέω ! νοέω
1TI 1:7.6 . μήτε μήτε CONJ-N 3383 μήτε ! μήτε
1TI 1:7.7 . ἃ ἃ R-APN 3739 ὅς ! ὅς
1TI 1:7.8 . λέγουσιν λέγουσιν V-PAI-3P 3004 λέγω ! λέγω
1TI 1:7.9 . μήτε μήτε CONJ-N 3383 μήτε ! μήτε
1TI 1:7.10 . περὶ περὶ PREP 4012 περί ! περί
1TI 1:7.11 . τίνων τίνων I-GPN 5101 τίς ! τίς
1TI 1:7.12 . διαβεβαιοῦνται. διαβεβαιοῦνται. V-PNI-3P 1226 διαβεβαιόομαι ! διαβεβαιόομαι
1TI 1:8.1 . οἴδαμεν οἴδαμεν V-RAI-1P 1492 εἴδω ! οἶδα
1TI 1:8.2 . δὲ δὲ CONJ 1161 δέ ! δέ
1TI 1:8.3 . ὅτι ὅτι CONJ 3754 ὅτι ! ὅτι
1TI 1:8.4 . καλὸς καλὸς A-NSM 2570 καλός ! καλός
1TI 1:8.5 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
1TI 1:8.6 . νόμος νόμος N-NSM 3551 νόμος ! νόμος
1TI 1:8.7 . ἐάν ἐάν COND 1437 ἐάν ! ἐάν
1TI 1:8.8 . τις τις X-NSM 5100 τὶς ! τὶς
1TI 1:8.9 . αὐτῷ αὐτῷ P-DSM 846 αὐτός ! αὐτός
1TI 1:8.10 . νομίμως νομίμως ADV 3545 νομίμως ! νομίμως
1TI 1:8.11 . χρῆται, χρῆται, V-PNS-3S 5530 χράομαι ! χράομαι
1TI 1:9.1 . εἰδὼς εἰδὼς V-RAP-NSM 1492 εἴδω ! οἶδα
1TI 1:9.2 . τοῦτο, τοῦτο, D-ASN 3778 οὗτος ! οὗτος
1TI 1:9.3 . ὅτι ὅτι CONJ 3754 ὅτι ! ὅτι
1TI 1:9.4 . δικαίῳ δικαίῳ A-DSM 1342 δίκαιος ! δίκαιος
1TI 1:9.5 . νόμος νόμος N-NSM 3551 νόμος ! νόμος
1TI 1:9.6 . οὐ οὐ PRT-N 3756 οὐ ! οὐ
1TI 1:9.7 . κεῖται, κεῖται, V-PNI-3S 2749 κεῖμαι ! κεῖμαι
1TI 1:9.8 . ἀνόμοις ἀνόμοις A-DPM 459 ἄνομος ! ἄνομος
1TI 1:9.9 . δὲ δὲ CONJ 1161 δέ ! δέ
1TI 1:9.10 . καὶ καὶ CONJ 2532 καί ! καί
1TI 1:9.11 . ἀνυποτάκτοις, ἀνυποτάκτοις, A-DPM 506 ἀνυπότακτος ! ἀνυπότακτος
1TI 1:9.12 . ἀσεβέσι ἀσεβέσι A-DPM 765 ἀσεβής ! ἀσεβής
1TI 1:9.13 . καὶ καὶ CONJ 2532 καί ! καί
1TI 1:9.14 . ἁμαρτωλοῖς, ἁμαρτωλοῖς, A-DPM 268 ἁμαρτωλός ! ἁμαρτωλός
1TI 1:9.15 . ἀνοσίοις ἀνοσίοις A-DPM 462 ἀνόσιος ! ἀνόσιος
1TI 1:9.16 . καὶ καὶ CONJ 2532 καί ! καί
1TI 1:9.17 . Βεβήλοις, Βεβήλοις, A-DPM 952 βέβηλος ! βέβηλος
1TI 1:9.18 . πατρολῴαις πατρολῴαις N-DPM 3964 πατραλῴας ! πατρολῴας
1TI 1:9.19 . καὶ καὶ CONJ 2532 καί ! καί
1TI 1:9.20 . μητρολῴαις, μητρολῴαις, N-DPM 3389 μητραλῴας ! μητρολῴας
1TI 1:9.21 . ἀνδροφόνοις, ἀνδροφόνοις, N-DPM 409 ἀνδροφόνος ! ἀνδροφόνος
1TI 1:10.1 . πόρνοις, πόρνοις, N-DPM 4205 πόρνος ! πόρνος
1TI 1:10.2 . ἀρσενοκοίταις, ἀρσενοκοίταις, N-DPM 733 ἀρσενοκοίτης ! ἀρσενοκοίτης
1TI 1:10.3 . ἀνδραποδισταῖς, ἀνδραποδισταῖς, N-DPM 405 ἀνδραποδιστής ! ἀνδραποδιστής
1TI 1:10.4 . ψεύσταις, ψεύσταις, N-DPM 5583 ψεύστης ! ψεύστης
1TI 1:10.5 . ἐπιόρκοις, ἐπιόρκοις, A-DPM 1965 ἐπίορκος ! ἐπίορκος
1TI 1:10.6 . καὶ καὶ CONJ 2532 καί ! καί
1TI 1:10.7 . εἴ εἴ COND 1487 εἰ ! εἰ
1TI 1:10.8 . τι τι X-NSN 5100 τὶς ! τὶς
1TI 1:10.9 . ἕτερον ἕτερον A-NSN 2087 ἕτερος ! ἕτερος
1TI 1:10.10 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
1TI 1:10.11 . ὑγιαινούσῃ ὑγιαινούσῃ V-PAP-DSF 5198 ὑγιαίνω ! ὑγιαίνω
1TI 1:10.12 . διδασκαλίᾳ διδασκαλίᾳ N-DSF 1319 διδασκαλία ! διδασκαλία
1TI 1:10.13 . ἀντίκειται, ἀντίκειται, V-PNI-3S 480 ἀντίκειμαι ! ἀντίκειμαι
1TI 1:11.1 . κατὰ κατὰ PREP 2596 κατά ! κατά
1TI 1:11.2 . τὸ τὸ T-ASN 3588 ὁ ! ὁ
1TI 1:11.3 . εὐαγγέλιον εὐαγγέλιον N-ASN 2098 εὐαγγέλιον ! εὐαγγέλιον
1TI 1:11.4 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
1TI 1:11.5 . δόξης δόξης N-GSF 1391 δόξα ! δόξα
1TI 1:11.6 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
1TI 1:11.7 . μακαρίου μακαρίου A-GSM 3107 μακάριος ! μακάριος
1TI 1:11.8 . θεοῦ, θεοῦ, N-GSM 2316 θεός ! θεός
1TI 1:11.9 . ὃ ὃ R-ASN 3739 ὅς ! ὅς
1TI 1:11.10 . ἐπιστεύθην ἐπιστεύθην V-API-1S 4100 πιστεύω ! πιστεύω
1TI 1:11.11 . ἐγώ. ἐγώ. P-1NS 1473 ἐγώ ! ἐγώ
1TI 1:12.1 . χάριν χάριν N-ASF 5485 χάρις ! χάρις
1TI 1:12.2 . ἔχω ἔχω V-PAI-1S 2192 ἔχω ! ἔχω
1TI 1:12.3 . τῷ τῷ T-DSM 3588 ὁ ! ὁ
1TI 1:12.4 . ἐνδυναμώσαντί ἐνδυναμώσαντί V-AAP-DSM 1743 ἐνδυναμόω ! ἐνδυναμόω
1TI 1:12.5 . με με P-1AS 1473 ἐγώ ! ἐγώ
1TI 1:12.6 . Χριστῷ Χριστῷ N-DSM 5547 Χριστός ! Χριστός
1TI 1:12.7 . Ἰησοῦ Ἰησοῦ N-DSM 2424 Ἰησοῦς ! Ἰησοῦς
1TI 1:12.8 . τῷ τῷ T-DSM 3588 ὁ ! ὁ
1TI 1:12.9 . κυρίῳ κυρίῳ N-DSM 2962 κύριος ! κύριος
1TI 1:12.10 . ἡμῶν, ἡμῶν, P-1GP 2249 ἡμεῖς ! ἐγώ
1TI 1:12.11 . ὅτι ὅτι CONJ 3754 ὅτι ! ὅτι
1TI 1:12.12 . πιστόν πιστόν A-ASM 4103 πιστός ! πιστός
1TI 1:12.13 . με με P-1AS 1473 ἐγώ ! ἐγώ
1TI 1:12.14 . ἡγήσατο ἡγήσατο V-ADI-3S 2233 ἡγέομαι ! ἡγέομαι
1TI 1:12.15 . θέμενος θέμενος V-2AMP-NSM 5087 τίθημι ! τίθημι
1TI 1:12.16 . εἰς εἰς PREP 1519 εἰς ! εἰς
1TI 1:12.17 . διακονίαν, διακονίαν, N-ASF 1248 διακονία ! διακονία
1TI 1:13.1 . τὸ τὸ T-ASN 3588 ὁ ! ὁ
1TI 1:13.2 . πρότερον πρότερον ADV-C 4386 πρότερον ! πρότερος
1TI 1:13.3 . ὄντα ὄντα V-PAP-ASM 1510 εἰμί ! εἰμί
1TI 1:13.4 . βλάσφημον βλάσφημον A-ASM 989 βλάσφημος ! βλάσφημος
1TI 1:13.5 . καὶ καὶ CONJ 2532 καί ! καί
1TI 1:13.6 . διώκτην διώκτην N-ASM 1376 διώκτης ! διώκτης
1TI 1:13.7 . καὶ καὶ CONJ 2532 καί ! καί
1TI 1:13.8 . ὑβριστήν· ὑβριστήν· N-ASM 5197 ὑβριστής ! ὑβριστής
1TI 1:13.9 . ἀλλὰ ἀλλὰ CONJ 235 ἀλλά ! ἀλλά
1TI 1:13.10 . ἠλεήθην, ἠλεήθην, V-API-1S 1653 ἐλεέω ! ἐλεέω
1TI 1:13.11 . ὅτι ὅτι CONJ 3754 ὅτι ! ὅτι
1TI 1:13.12 . ἀγνοῶν ἀγνοῶν V-PAP-NSM 50 ἀγνοέω ! ἀγνοέω
1TI 1:13.13 . ἐποίησα ἐποίησα V-AAI-1S 4160 ποιέω ! ποιέω
1TI 1:13.14 . ἐν ἐν PREP 1722 ἐν ! ἐν
1TI 1:13.15 . ἀπιστίᾳ, ἀπιστίᾳ, N-DSF 570 ἀπιστία ! ἀπιστία
1TI 1:14.1 . ὑπερεπλεόνασεν ὑπερεπλεόνασεν V-AAI-3S 5250 ὑπερπλεονάζω ! ὑπερπλεονάζω
1TI 1:14.2 . δὲ δὲ CONJ 1161 δέ ! δέ
1TI 1:14.3 . ἡ ἡ T-NSF 3588 ὁ ! ὁ
1TI 1:14.4 . χάρις χάρις N-NSF 5485 χάρις ! χάρις
1TI 1:14.5 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
1TI 1:14.6 . κυρίου κυρίου N-GSM 2962 κύριος ! κύριος
