1PE 1:4.9 . ἐν ἐν PREP 1722 ἐν ! ἐν
1PE 1:4.10 . οὐρανοῖς οὐρανοῖς N-DPM 3772 οὐρανός ! οὐρανός
1PE 1:4.11 . εἰς εἰς PREP 1519 εἰς ! εἰς
1PE 1:4.12 . ὑμᾶς ὑμᾶς P-2AP 5210 ὑμεῖς ! σύ
1PE 1:5.1 . τοὺς τοὺς T-APM 3588 ὁ ! ὁ
1PE 1:5.2 . ἐν ἐν PREP 1722 ἐν ! ἐν
1PE 1:5.3 . δυνάμει δυνάμει N-DSF 1411 δύναμις ! δύναμις
1PE 1:5.4 . θεοῦ θεοῦ N-GSM 2316 θεός ! θεός
1PE 1:5.5 . φρουρουμένους φρουρουμένους V-PPP-APM 5432 φρουρέω ! φρουρέω
1PE 1:5.6 . διὰ διὰ PREP 1223 διά ! διά
1PE 1:5.7 . πίστεως πίστεως N-GSF 4102 πίστις ! πίστις
1PE 1:5.8 . εἰς εἰς PREP 1519 εἰς ! εἰς
1PE 1:5.9 . σωτηρίαν σωτηρίαν N-ASF 4991 σωτηρία ! σωτηρία
1PE 1:5.10 . ἑτοίμην ἑτοίμην A-ASF 2092 ἕτοιμος ! ἕτοιμος
1PE 1:5.11 . ἀποκαλυφθῆναι ἀποκαλυφθῆναι V-APN 601 ἀποκαλύπτω ! ἀποκαλύπτω
1PE 1:5.12 . ἐν ἐν PREP 1722 ἐν ! ἐν
1PE 1:5.13 . καιρῷ καιρῷ N-DSM 2540 καιρός ! καιρός
1PE 1:5.14 . ἐσχάτῳ. ἐσχάτῳ. A-DSM-S 2078 ἔσχατος ! ἔσχατος
1PE 1:6.1 . ἐν ἐν PREP 1722 ἐν ! ἐν
1PE 1:6.2 . ᾧ ᾧ R-DSN 3739 ὅς ! ὅς
1PE 1:6.3 . ἀγαλλιᾶσθε, ἀγαλλιᾶσθε, V-PNI-2P 21 ἀγαλλιάω ! ἀγαλλιάω
1PE 1:6.4 . ὀλίγον ὀλίγον A-ASN 3641 ὀλίγος ! ὀλίγος
1PE 1:6.5 . ἄρτι ἄρτι ADV 737 ἄρτι ! ἄρτι
1PE 1:6.6 . εἰ εἰ COND 1487 εἰ ! εἰ
1PE 1:6.7 . δέον δέον V-PAP-NSN 1163 δεῖ ! δεῖ
1PE 1:6.8 . λυπηθέντες λυπηθέντες V-APP-NPM 3076 λυπέω ! λυπέω
1PE 1:6.9 . ἐν ἐν PREP 1722 ἐν ! ἐν
1PE 1:6.10 . ποικίλοις ποικίλοις A-DPM 4164 ποικίλος ! ποικίλος
1PE 1:6.11 . πειρασμοῖς, πειρασμοῖς, N-DPM 3986 πειρασμός ! πειρασμός
1PE 1:7.1 . ἵνα ἵνα CONJ 2443 ἵνα ! ἵνα
1PE 1:7.2 . τὸ τὸ T-NSN 3588 ὁ ! ὁ
1PE 1:7.3 . δοκίμιον δοκίμιον N-NSN 1383 δοκίμιον ! δοκίμιον
1PE 1:7.4 . ὑμῶν ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
1PE 1:7.5 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
1PE 1:7.6 . πίστεως πίστεως N-GSF 4102 πίστις ! πίστις
1PE 1:7.7 . πολυτιμότερον πολυτιμότερον A-NSN-C 4186 πολύτιμος ! πολύτιμος
1PE 1:7.8 . χρυσίου χρυσίου N-GSN 5553 χρυσίον ! χρυσίον
1PE 1:7.9 . τοῦ τοῦ T-GSN 3588 ὁ ! ὁ
1PE 1:7.10 . ἀπολλυμένου, ἀπολλυμένου, V-PMP-GSN 622 ἀπόλλυμι ! ἀπόλλυμι
1PE 1:7.11 . διὰ διὰ PREP 1223 διά ! διά
1PE 1:7.12 . πυρὸς πυρὸς N-GSN 4442 πῦρ ! πῦρ
1PE 1:7.13 . δὲ δὲ CONJ 1161 δέ ! δέ
1PE 1:7.14 . δοκιμαζομένου, δοκιμαζομένου, V-PPP-GSN 1381 δοκιμάζω ! δοκιμάζω
1PE 1:7.15 . εὑρεθῇ εὑρεθῇ V-APS-3S 2147 εὑρίσκω ! εὑρίσκω
1PE 1:7.16 . εἰς εἰς PREP 1519 εἰς ! εἰς
1PE 1:7.17 . ἔπαινον ἔπαινον N-ASM 1868 ἔπαινος ! ἔπαινος
1PE 1:7.18 . καὶ καὶ CONJ 2532 καί ! καί
1PE 1:7.19 . δόξαν δόξαν N-ASF 1391 δόξα ! δόξα
1PE 1:7.20 . καὶ καὶ CONJ 2532 καί ! καί
1PE 1:7.21 . τιμὴν τιμὴν N-ASF 5092 τιμή ! τιμή
1PE 1:7.22 . ἐν ἐν PREP 1722 ἐν ! ἐν
1PE 1:7.23 . ἀποκαλύψει ἀποκαλύψει N-DSF 602 ἀποκάλυψις ! ἀποκάλυψις
1PE 1:7.24 . Ἰησοῦ Ἰησοῦ N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
1PE 1:7.25 . Χριστοῦ. Χριστοῦ. N-GSM 5547 Χριστός ! Χριστός
1PE 1:8.1 . ὃν ὃν R-ASM 3739 ὅς ! ὅς
1PE 1:8.2 . οὐκ οὐκ PRT-N 3756 οὐ ! οὐ
1PE 1:8.3 . ἰδόντες ἰδόντες V-2AAP-NPM 3708 ὁράω ! ὁράω
1PE 1:8.4 . ἀγαπᾶτε, ἀγαπᾶτε, V-PAI-2P 25 ἀγαπάω ! ἀγαπάω
1PE 1:8.5 . εἰς εἰς PREP 1519 εἰς ! εἰς
1PE 1:8.6 . ὃν ὃν R-ASM 3739 ὅς ! ὅς
1PE 1:8.7 . ἄρτι ἄρτι ADV 737 ἄρτι ! ἄρτι
1PE 1:8.8 . μὴ μὴ PRT-N 3361 μή ! μή
1PE 1:8.9 . ὁρῶντες ὁρῶντες V-PAP-NPM 3708 ὁράω ! ὁράω
1PE 1:8.10 . πιστεύοντες πιστεύοντες V-PAP-NPM 4100 πιστεύω ! πιστεύω
1PE 1:8.11 . δὲ δὲ CONJ 1161 δέ ! δέ
1PE 1:8.12 . ἀγαλλιᾶσθε ἀγαλλιᾶσθε V-PAI-2P 21 ἀγαλλιάω ! ἀγαλλιάω
1PE 1:8.13 . χαρᾷ χαρᾷ N-DSF 5479 χαρά ! χαρά
1PE 1:8.14 . ἀνεκλαλήτῳ ἀνεκλαλήτῳ A-DSF 412 ἀνεκλάλητος ! ἀνεκλάλητος
1PE 1:8.15 . καὶ καὶ CONJ 2532 καί ! καί
1PE 1:8.16 . δεδοξασμένῃ, δεδοξασμένῃ, V-RPP-DSF 1392 δοξάζω ! δοξάζω
1PE 1:9.1 . κομιζόμενοι κομιζόμενοι V-PMP-NPM 2865 κομίζω ! κομίζω
1PE 1:9.2 . τὸ τὸ T-ASN 3588 ὁ ! ὁ
1PE 1:9.3 . τέλος τέλος N-ASN 5056 τέλος ! τέλος
1PE 1:9.4 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
1PE 1:9.5 . πίστεως πίστεως N-GSF 4102 πίστις ! πίστις
1PE 1:9.6 . ὑμῶν ὑμῶν P-2GP 5210 ὑμεῖς ! σύ
1PE 1:9.7 . σωτηρίαν σωτηρίαν N-ASF 4991 σωτηρία ! σωτηρία
1PE 1:9.8 . ψυχῶν. ψυχῶν. N-GPF 5590 ψυχή ! ψυχή
1PE 1:10.1 . περὶ περὶ PREP 4012 περί ! περί
1PE 1:10.2 . ἧς ἧς R-GSF 3739 ὅς ! ὅς
1PE 1:10.3 . σωτηρίας σωτηρίας N-GSF 4991 σωτηρία ! σωτηρία
1PE 1:10.4 . ἐξεζήτησαν ἐξεζήτησαν V-AAI-3P 1567 ἐκζητέω ! ἐκζητέω
1PE 1:10.5 . καὶ καὶ CONJ 2532 καί ! καί
1PE 1:10.6 . ἐξηραύνησαν ἐξηραύνησαν V-AAI-3P 1830 ἐξερευνάω ! ἐξεραυνάω
1PE 1:10.7 . προφῆται προφῆται N-NPM 4396 προφήτης ! προφήτης
1PE 1:10.8 . οἱ οἱ T-NPM 3588 ὁ ! ὁ
