LU 1:5.27 . Ἐλισάβετ. Ἐλισάβετ. N-PRI 1665 Ἐλισάβετ ! Ἐλισάβετ
LU 1:6.1 . ἦσαν ἦσαν V-IAI-3P 1510 εἰμί ! εἰμί
LU 1:6.2 . δὲ δὲ CONJ 1161 δέ ! δέ
LU 1:6.3 . δίκαιοι δίκαιοι A-NPM 1342 δίκαιος ! δίκαιος
LU 1:6.4 . ἀμφότεροι ἀμφότεροι A-NPM 297 ἀμφότερος ! ἀμφότεροι
LU 1:6.5 . ἐναντίον ἐναντίον ADV 1726 ἐναντίον ! ἐναντίον
LU 1:6.6 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
LU 1:6.7 . θεοῦ, θεοῦ, N-GSM 2316 θεός ! θεός
LU 1:6.8 . πορευόμενοι πορευόμενοι V-PNP-NPM 4198 πορεύομαι ! πορεύομαι
LU 1:6.9 . ἐν ἐν PREP 1722 ἐν ! ἐν
LU 1:6.10 . πάσαις πάσαις A-DPF 3956 πᾶς ! πᾶς
LU 1:6.11 . ταῖς ταῖς T-DPF 3588 ὁ ! ὁ
LU 1:6.12 . ἐντολαῖς ἐντολαῖς N-DPF 1785 ἐντολή ! ἐντολή
LU 1:6.13 . καὶ καὶ CONJ 2532 καί ! καί
LU 1:6.14 . δικαιώμασιν δικαιώμασιν N-DPN 1345 δικαίωμα ! δικαίωμα
LU 1:6.15 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
LU 1:6.16 . κυρίου κυρίου N-GSM 2962 κύριος ! κύριος
LU 1:6.17 . ἄμεμπτοι. ἄμεμπτοι. A-NPM 273 ἄμεμπτος ! ἄμεμπτος
LU 1:7.1 . καὶ καὶ CONJ 2532 καί ! καί
LU 1:7.2 . οὐκ οὐκ PRT-N 3756 οὐ ! οὐ
LU 1:7.3 . ἦν ἦν V-IAI-3S 1510 εἰμί ! εἰμί
LU 1:7.4 . αὐτοῖς αὐτοῖς P-DPM 846 αὐτός ! αὐτός
LU 1:7.5 . τέκνον, τέκνον, N-NSN 5043 τέκνον ! τέκνον
LU 1:7.6 . καθότι καθότι ADV 2530 καθότι ! καθότι
LU 1:7.7 . ἦν ἦν V-IAI-3S 1510 εἰμί ! εἰμί
LU 1:7.8 . ἡ ἡ T-NSF 3588 ὁ ! ὁ
LU 1:7.9 . Ἐλισάβετ Ἐλισάβετ N-PRI 1665 Ἐλισάβετ ! Ἐλισάβετ
LU 1:7.10 . στεῖρα, στεῖρα, N-NSF 4723 στείρος ! στεῖρα
LU 1:7.11 . καὶ καὶ CONJ 2532 καί ! καί
LU 1:7.12 . ἀμφότεροι ἀμφότεροι A-NPM 297 ἀμφότερος ! ἀμφότεροι
LU 1:7.13 . προβεβηκότες προβεβηκότες V-RAP-NPM 4260 προβαίνω ! προβαίνω
LU 1:7.14 . ἐν ἐν PREP 1722 ἐν ! ἐν
LU 1:7.15 . ταῖς ταῖς T-DPF 3588 ὁ ! ὁ
LU 1:7.16 . ἡμέραις ἡμέραις N-DPF 2250 ἡμέρα ! ἡμέρα
LU 1:7.17 . αὐτῶν αὐτῶν P-GPM 846 αὐτός ! αὐτός
LU 1:7.18 . ἦσαν. ἦσαν. V-IAI-3P 1510 εἰμί ! εἰμί
LU 1:8.1 . ἐγένετο ἐγένετο V-2ADI-3S 1096 γίνομαι ! γίνομαι
LU 1:8.2 . δὲ δὲ CONJ 1161 δέ ! δέ
LU 1:8.3 . ἐν ἐν PREP 1722 ἐν ! ἐν
LU 1:8.4 . τῷ τῷ T-DSN 3588 ὁ ! ὁ
LU 1:8.5 . ἱερατεύειν ἱερατεύειν V-PAN 2407 ἱερατεύω ! ἱερατεύω
LU 1:8.6 . αὐτὸν αὐτὸν P-ASM 846 αὐτός ! αὐτός
LU 1:8.7 . ἐν ἐν PREP 1722 ἐν ! ἐν
LU 1:8.8 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
LU 1:8.9 . τάξει τάξει N-DSF 5010 τάξις ! τάξις
LU 1:8.10 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
LU 1:8.11 . ἐφημερίας ἐφημερίας N-GSF 2183 ἐφημερία ! ἐφημερία
LU 1:8.12 . αὐτοῦ αὐτοῦ P-GSM 846 αὐτός ! αὐτός
LU 1:8.13 . ἔναντι ἔναντι ADV 1725 ἔναντι ! ἔναντι
LU 1:8.14 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
LU 1:8.15 . θεοῦ, θεοῦ, N-GSM 2316 θεός ! θεός
LU 1:9.1 . κατὰ κατὰ PREP 2596 κατά ! κατά
LU 1:9.2 . τὸ τὸ T-ASN 3588 ὁ ! ὁ
LU 1:9.3 . ἔθος ἔθος N-ASN 1485 ἔθος ! ἔθος
LU 1:9.4 . τῆς τῆς T-GSF 3588 ὁ ! ὁ
LU 1:9.5 . ἱερατείας ἱερατείας N-GSF 2405 ἱερατεία ! ἱερατεία
LU 1:9.6 . ἔλαχε ἔλαχε V-2AAI-3S 2975 λαγχάνω ! λαγχάνω
LU 1:9.7 . τοῦ τοῦ T-GSN 3588 ὁ ! ὁ
LU 1:9.8 . θυμιᾶσαι θυμιᾶσαι V-AAN 2370 θυμιάω ! θυμιάω
LU 1:9.9 . εἰσελθὼν εἰσελθὼν V-2AAP-NSM 1525 εἰσέρχομαι ! εἰσέρχομαι
LU 1:9.10 . εἰς εἰς PREP 1519 εἰς ! εἰς
LU 1:9.11 . τὸν τὸν T-ASM 3588 ὁ ! ὁ
LU 1:9.12 . ναὸν ναὸν N-ASM 3485 ναός ! ναός
LU 1:9.13 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
LU 1:9.14 . κυρίου, κυρίου, N-GSM 2962 κύριος ! κύριος
LU 1:10.1 . καὶ καὶ CONJ 2532 καί ! καί
LU 1:10.2 . πᾶν πᾶν A-NSN 3956 πᾶς ! πᾶς
LU 1:10.3 . τὸ τὸ T-NSN 3588 ὁ ! ὁ
LU 1:10.4 . πλῆθος πλῆθος N-NSN 4128 πλῆθος ! πλῆθος
LU 1:10.5 . ἦν ἦν V-IAI-3S 1510 εἰμί ! εἰμί
LU 1:10.6 . τοῦ τοῦ T-GSM 3588 ὁ ! ὁ
LU 1:10.7 . λαοῦ λαοῦ N-GSM 2992 λαός ! λαός
LU 1:10.8 . προσευχόμενον προσευχόμενον V-PNP-NSN 4336 προσεύχομαι ! προσεύχομαι
LU 1:10.9 . ἔξω ἔξω ADV 1854 ἔξω ! ἔξω
LU 1:10.10 . τῇ τῇ T-DSF 3588 ὁ ! ὁ
LU 1:10.11 . ὥρᾳ ὥρᾳ N-DSF 5610 ὥρα ! ὥρα
LU 1:10.12 . τοῦ τοῦ T-GSN 3588 ὁ ! ὁ
LU 1:10.13 . θυμιάματος. θυμιάματος. N-GSN 2368 θυμίαμα ! θυμίαμα
LU 1:11.1 . ὤφθη ὤφθη V-API-3S 3708 ὁράω ! ὁράω
LU 1:11.2 . δὲ δὲ CONJ 1161 δέ ! δέ
LU 1:11.3 . αὐτῷ αὐτῷ P-DSM 846 αὐτός ! αὐτός
