MR 1:5.17 . ἐν ἐν PREP 1722 ἐν ! ἐν
MR 1:5.18 . τῷ τῷ T-DSM 3588 ὁ ! ὁ
MR 1:5.19 . Ἰορδάνῃ Ἰορδάνῃ N-DSM 2446 Ἰορδάνης ! Ἰορδάνης
MR 1:5.20 . ποταμῷ ποταμῷ N-DSM 4215 ποταμός ! ποταμός
MR 1:5.21 . ἐξομολογούμενοι ἐξομολογούμενοι V-PMP-NPM 1843 ἐξομολογέω ! ἐξομολογέω
MR 1:5.22 . τὰς τὰς T-APF 3588 ὁ ! ὁ
MR 1:5.23 . ἁμαρτίας ἁμαρτίας N-APF 266 ἁμαρτία ! ἁμαρτία
MR 1:5.24 . αὐτῶν. αὐτῶν. P-GPM 846 αὐτός ! αὐτός
MR 1:6.1 . καὶ καὶ CONJ 2532 καί ! καί
MR 1:6.2 . ἦν ἦν V-IAI-3S 1510 εἰμί ! εἰμί
MR 1:6.3 . ὁ ὁ T-NSM 3588 ὁ ! ὁ
MR 1:6.4 . Ἰωάννης Ἰωάννης N-NSM 2491 Ἰωάννης ! Ἰωάννης
MR 1:6.5 . ἐνδεδυμένος ἐνδεδυμένος V-RMP-NSM 1746 ἐνδύω ! ἐνδύω
MR 1:6.6 . τρίχας τρίχας N-APF 2359 θρίξ ! θρίξ
MR 1:6.7 . καμήλου καμήλου N-GSM 2574 κάμηλος ! κάμηλος
MR 1:6.8 . καὶ καὶ CONJ 2532 καί ! καί
MR 1:6.9 . ζώνην ζώνην N-ASF 2223 ζώνη ! ζώνη
MR 1:6.10 . δερματίνην δερματίνην A-ASF 1193 δερμάτινος ! δερμάτινος
MR 1:6.11 . περὶ περὶ PREP 4012 περί ! περί
MR 1:6.12 . τὴν τὴν T-ASF 3588 ὁ ! ὁ
MR 1:6.13 . ὀσφὺν ὀσφὺν N-ASF 3751 ὀσφῦς ! ὀσφῦς
MR 1:6.14 . αὐτοῦ, αὐτοῦ, P-GSM 846 αὐτός ! αὐτός
MR 1:6.15 . καὶ καὶ CONJ 2532 καί ! καί
MR 1:6.16 . ἐσθίων ἐσθίων V-PAP-NSM 2068 ἐσθίω ! ἐσθίω
MR 1:6.17 . ἀκρίδας ἀκρίδας N-APF 200 ἀκρίς ! ἀκρίς
MR 1:6.18 . καὶ καὶ CONJ 2532 καί ! καί
MR 1:6.19 . μέλι μέλι N-ASN 3192 μέλι ! μέλι
MR 1:6.20 . ἄγριον. ἄγριον. A-ASN 66 ἄγριος ! ἄγριος
MR 1:7.1 . καὶ καὶ CONJ 2532 καί ! καί
MR 1:7.2 . ἐκήρυσσεν ἐκήρυσσεν V-IAI-3S 2784 κηρύσσω ! κηρύσσω
MR 1:7.3 . λέγων· λέγων· V-PAP-NSM 3004 λέγω ! λέγω
